Site,Col_Company,Col_Recruit,Col_detail,Col_url
Jobkorea,㈜창리정보통신,"네트워크 유지보수, SUPPORT 업무","서울 서초구
컴퓨터·하드웨어·장비, 네트워크엔지니어, 보안엔지니어, 통신엔지니어
즉시 지원
경력2년↑
12시간 전 등록
•
06/07(일) 마감",https://www.jobkorea.co.kr/Recruit/GI_Read/49130582?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=1&sc=552
Jobkorea,㈜스패셜티,"(주)스패셜티 개발자(신입/경력), 기획(연구소) 분야 채용","전북 전주시
솔루션·SI·CRM·ERP, 웹개발자
즉시 지원
신입·경력2년↑
•
경조사 지원, 건강검진 지원, 자기개발비, 휴가제도
05/06(수) 등록
•
06/05(금) 마감",https://www.jobkorea.co.kr/Recruit/GI_Read/49109013?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=2&sc=552
Jobkorea,오션유아이,UIUX 퍼블리셔 채용(신입 또는 경력1-3년 차),"대전 중구
솔루션·SI·CRM·ERP, 프론트엔드개발자, 웹퍼블리셔
즉시 지원
신입·경력1년↑
04/30(목) 등록
•
06/29(월) 마감",https://www.jobkorea.co.kr/Recruit/GI_Read/49089841?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=3&sc=552
Jobkorea,브이엔티지,SAP B1 기술리더 (프로젝트PM),"서울 마포구
솔루션·SI·CRM·ERP, 소프트웨어개발자, 클라우드엔지니어, IT컨설팅
홈페이지 지원
경력5년↑
04/30(목) 등록
•
상시채용",https://www.jobkorea.co.kr/Recruit/GI_Read/49080607?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=4&sc=552
Jobkorea,디자인캠프이엠,기업부설연구소 H/W 회로개발 신입/경력 채용,"대전 유성구
전기·전자·제어, 하드웨어개발자
연봉 3,300만원~
즉시 지원
경력무관
04/29(수) 등록
•
05/29(금) 마감",https://www.jobkorea.co.kr/Recruit/GI_Read/49081429?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=5&sc=552
Jobkorea,보람상조개발㈜,[보람그룹] CRM 데이터분석(DA) 채용,"서울 중구
웨딩·상조·이벤트, 경영·비즈니스기획, 데이터사이언티스트, 영업지원
즉시 지원
경력3년↑
04/10(금) 등록
•
06/09(화) 마감",https://www.jobkorea.co.kr/Recruit/GI_Read/48956008?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=1&sc=630
Jobkorea,콘센트릭스서비스코리아,데이터분석태깅/기획,"서울 강남구
IT컨설팅, 경영·비즈니스기획
즉시 지원
경력1년↑
•
각종 교육비 지원, 리프레시 휴가, 자율복장
03/30(월) 등록
•
05/22(금) 마감",https://www.jobkorea.co.kr/Recruit/GI_Read/48877378?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=2&sc=630
Jobkorea,넛지헬스케어㈜,[캐시워크-병역특례] 데이터분석 병역특례 대상자 모집,"서울 강남구
모바일·APP, DBA, 데이터엔지니어, 데이터사이언티스트
홈페이지 지원
경력무관
•
유연근무, 쾌적한 업무공간
04/06(월) 등록
•
상시채용",https://www.jobkorea.co.kr/Recruit/GI_Read/48921518?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=3&sc=630
Jobkorea,연이,데이터분석 준전문가 자격증 온라인 강의 교사 채용,"서울 광진구
솔루션·SI·CRM·ERP, 시스템엔지니어, DBA
즉시 지원
경력2년↑
05/05(화) 등록
•
06/04(목) 마감",https://www.jobkorea.co.kr/Recruit/GI_Read/49107618?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=4&sc=630
Jobkorea,㈜메인라인,"데이터 사이언티스트 채용(데이터분석, LLM구축 등)","서울 마포구
솔루션·SI·CRM·ERP, 데이터사이언티스트, AI/ML엔지니어
즉시 지원
경력3년↑
•
경조사 지원, 휴가비 지원
04/30(목) 등록
•
05/30(토) 마감",https://www.jobkorea.co.kr/Recruit/GI_Read/49087863?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=5&sc=630
Jobkorea,에듀캔버스,데이터분석 및 웹기획 담당자 채용,"경기 성남시
학교(초·중·고·대학·특수), 웹기획, 데이터사이언티스트, 데이터분석가
즉시 지원
경력무관
04/14(화) 등록
•
06/13(토) 마감",https://www.jobkorea.co.kr/Recruit/GI_Read/48981952?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=6&sc=630
Jobkorea,㈜다이트랩,"[다이트랩] SQL, Python 활용 데이터분석 경력직 채용(3년이상)","서울 강남구
의료(병원분류별), 경영·비즈니스기획, 데이터엔지니어, 데이터분석가
즉시 지원
경력3년↑
04/20(월) 등록
•
05/20(수) 마감",https://www.jobkorea.co.kr/Recruit/GI_Read/49020905?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=7&sc=630
Jobkorea,㈜네피리티,[(주)네피리티/제주] 데이터분석 및 AI모델 개발 모집,"제주 제주시
솔루션·SI·CRM·ERP, 데이터엔지니어, 데이터사이언티스트, AI/ML엔지니어
즉시 지원
신입·경력
04/24(금) 등록
•
05/24(일) 마감",https://www.jobkorea.co.kr/Recruit/GI_Read/49051862?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=8&sc=630
Jobkorea,부산인터넷방송국,"AI, 딥러닝, 머신러닝, 데이터분석, 분석방법론 학습로드맵 모집","부산 부산진구
솔루션·SI·CRM·ERP, AI/ML엔지니어, 데이터분석가, AI서비스개발자
즉시 지원
경력1년↑
05/01(금) 등록
•
05/31(일) 마감",https://www.jobkorea.co.kr/Recruit/GI_Read/49094812?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=9&sc=630
Jobkorea,㈜스윗스위치,온라인 커머스 MD 채용 (스마트스토어/자사몰 운영·매출관리·데이터분석),"서울 마포구
쇼핑몰·오픈마켓·소셜커머스, MD
즉시 지원
경력무관
•
경조사 지원, 명절선물/명절상여 지원, 4대보험, 공휴일 휴무, 주5일제
03/31(화) 등록
•
05/30(토) 마감",https://www.jobkorea.co.kr/Recruit/GI_Read/48887976?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=10&sc=630
Jobkorea,㈜텔몬,"온라인마케팅, 마케팅기획 관리, 사무보조데이터분석","서울 금천구
광고·홍보·전시, 마케팅기획, 퍼포먼스마케터, 온라인마케터
연봉 3,000만원~
즉시 지원
경력2년↑
05/06(수) 등록
•
06/05(금) 마감",https://www.jobkorea.co.kr/Recruit/GI_Read/49118097?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=11&sc=630
Jobkorea,㈜인터엑스,[강남오피스]CAD데이터분석및자동화엔지니어,"서울 금천구 외 1
솔루션·SI·CRM·ERP, 기계엔지니어
즉시 지원
경력3년↑
•
경조사 지원, 유연근무, 사내 동호회 지원, 수평적 조직문화, 교육/세미나/스터디, 연차제도, 반차제도, 자율복장
05/07(목) 등록
•
06/07(일) 마감",https://www.jobkorea.co.kr/Recruit/GI_Read/49126879?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=12&sc=630
