Site,Col_Company,Col_Recruit,Col_detail,Col_url
Saramin,(주)기어세컨드,[기어세컨드] 데이터 분석가,"서울 성동구
경력무관
학력무관
정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53819437&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=y&search_uuid=8fcc1423-ec42-44e5-8c3a-36e1c51150a3
Saramin,넛지헬스케어(주),[캐시워크] 데이터분석 담당 채용전환형 인턴,"서울 강남구
신입
대졸↑
인턴직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53397797&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=8fcc1423-ec42-44e5-8c3a-36e1c51150a3
Saramin,(주)이노션,[이노션] 데이터 분석 운영(GA4 Specialist) (계약직),"서울 강남구
경력1년↑
대졸↑
계약직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53711740&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=8fcc1423-ec42-44e5-8c3a-36e1c51150a3
Saramin,(주)이노션,[이노션] 데이터 분석 및 컨설팅 (Junior) (육아휴직 대체),"서울 강남구
경력2년↑
초대졸↑
계약직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53813743&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=8fcc1423-ec42-44e5-8c3a-36e1c51150a3
Saramin,넛지헬스케어(주),[캐시워크] 데이터분석가 - 석사/박사,"서울 강남구
경력무관
석사↑
정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53397807&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=8fcc1423-ec42-44e5-8c3a-36e1c51150a3
Saramin,콘센트릭스서비스코리아(유),데이터 분석(태깅)/기획,"서울 강남구
경력 1~10년
학력무관
정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53737314&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=8fcc1423-ec42-44e5-8c3a-36e1c51150a3
Saramin,닐슨아이큐서비스코리아(유),[닐슨아이큐코리아] 데이터분석 및 시장조사 (대리급),"서울 중구
경력 2~5년
대졸↑
정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53833138&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=8fcc1423-ec42-44e5-8c3a-36e1c51150a3
Saramin,(주)데이터마케팅코리아,[데이터컨설턴트]고객 문제 정의부터 분석까지 리딩할 인재 모집,"서울 강남구
경력3년↑
대졸↑
정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53349623&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=8fcc1423-ec42-44e5-8c3a-36e1c51150a3
Saramin,펑타이그레이터차이나(유)영업소,[PTKOREA] 글로벌 이커머스 플랫폼 데이터 분석,"서울 강남구
경력 4~10년
대졸↑
정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53751812&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=8fcc1423-ec42-44e5-8c3a-36e1c51150a3
Saramin,(주)다이퀘스트,[다이퀘스트] 데이터 분석 및 지식 구축 담당자 모집 (계약직),"서울 구로구
경력무관
대졸↑
계약직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53819290&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=8fcc1423-ec42-44e5-8c3a-36e1c51150a3
